DATE,SP_INDEX
01/06/2022,-0.083919993
01/07/2022,0.091116348
01/08/2022,-0.042440119
01/09/2022,-0.093395702
01/10/2022,0.079863455
01/11/2022,0.05375286
01/12/2022,-0.058971449
01/01/2023,0.061752832
01/02/2023,-0.026112447
01/03/2023,0.035051572
01/04/2023,0.014642361
01/05/2023,0.002482324
01/06/2023,0.064727513
01/07/2023,0.031138914
01/08/2023,-0.017716432
01/09/2023,-0.048719291
01/10/2023,-0.021979688
01/11/2023,0.089179265
01/12/2023,0.044229169
01/01/2024,0.015895745
01/02/2024,0.051720615
01/03/2024,0.031018765
01/04/2024,-0.041615043
01/05/2024,0.048021224
01/06/2024,0.034669759
01/07/2024,0.011321349
01/08/2024,0.022834688
01/09/2024,0.02019687
01/10/2024,-0.009896781
01/11/2024,0.057301352
01/12/2024,-0.024990137
